density,side_clearance_m,crossing_rate,largest_component_fraction,random_pair_connectivity,free_area_fraction,placement_fallback_rate,mean_fallback_count
130,0.0,1.0,1.0,1.0,0.8718469839855448,0.0,0.0
130,0.1,1.0,0.9999552670144682,0.9999106082821555,0.8298061929160166,0.0,0.0
130,0.2,1.0,0.9999229444489488,0.9998460134532222,0.7825900349001264,0.0,0.0
160,0.0,1.0,1.0,1.0,0.8438127769114625,0.0,0.0
160,0.1,1.0,0.9999666088670199,0.9999332679909658,0.7922863295462983,0.0,0.0
160,0.2,1.0,0.9998314435906589,0.9996632302893222,0.7353983812281873,0.0,0.0
190,0.0,1.0,0.999988792321426,0.999977593246834,0.8164790475483282,0.0,0.0
190,0.1,1.0,0.9999457294146074,0.9998915425007433,0.7563468726021633,0.0,0.0
190,0.2,1.0,0.9994406065108085,0.9988871292569853,0.6901796985223139,0.0,0.0
205,0.0,1.0,0.9999907581405378,0.9999815333634691,0.8035013984802356,0.0,0.0
205,0.1,1.0,0.9998915299188949,0.9997832744345181,0.7391987822083612,0.0,0.0
205,0.2,1.0,0.9991503422164568,0.9983078619794756,0.6684450879928715,0.0,0.0
220,0.0,1.0,1.0,1.0,0.7901537090666073,0.0,0.0
220,0.1,1.0,0.999915970728393,0.9998321658396283,0.7217972327417638,0.0,0.0
220,0.2,1.0,0.9991373721113307,0.9982785926617632,0.6467379520308905,0.0,0.0
250,0.0,1.0,0.9999760632403831,0.9999521670513658,0.7649775995643673,0.0,0.0
250,0.1,1.0,0.9998215503429347,0.9996434144441656,0.6883339521298979,0.0,0.0
250,0.2,1.0,0.998678271790306,0.9973641717332089,0.6058659439122794,0.0,0.0
300,0.0,1.0,0.9999833673097153,0.9999667539798446,0.7271701195514965,0.0,0.0
300,0.1,1.0,0.9992226336877335,0.9984490331413357,0.6393680849483924,0.0,0.0
300,0.2,1.0,0.995289745003812,0.9906402778922887,0.5447652285834509,0.0,0.0
