baseline,arm,metric,seed_4101,seed_4102,seed_4103,mean_diff,bca95_lo,bca95_hi,excludes_zero,perm_p
H_historical,E0_static,capture_rate,-0.031846,-0.040405,-0.035138,-0.035796,-0.040405,-0.032943,True,0.2507
H_historical,E0_static,crash_rate,-0.010135,-0.007568,-0.009775,-0.009159,-0.010135,-0.008304,True,0.2507
H_historical,E0_static,timeout_rate,0.041980,0.047974,0.044912,0.044955,0.041980,0.046953,True,0.2507
H_historical,E1_cv,capture_rate,-0.023824,-0.035264,-0.025647,-0.028245,-0.035264,-0.024431,True,0.2507
H_historical,E1_cv,crash_rate,0.009047,0.014029,0.007823,0.010300,0.007823,0.012368,True,0.2507
H_historical,E1_cv,timeout_rate,0.014777,0.021235,0.017823,0.017945,0.014777,0.020098,True,0.2507
H_historical,E2_obstacle_aware,capture_rate,0.011504,0.016486,0.011946,0.013312,0.011504,0.014973,True,0.2507
H_historical,E2_obstacle_aware,crash_rate,0.003751,-0.002325,0.001843,0.001089,-0.002325,0.003115,False,0.7541
H_historical,E2_obstacle_aware,timeout_rate,-0.015255,-0.014161,-0.013788,-0.014401,-0.015255,-0.013912,True,0.2507
E0_static,E1_cv,capture_rate,0.008022,0.005141,0.009491,0.007551,0.005141,0.009002,True,0.2507
E0_static,E1_cv,crash_rate,0.019181,0.021598,0.017598,0.019459,0.017598,0.020792,True,0.2507
E0_static,E1_cv,timeout_rate,-0.027203,-0.026739,-0.027089,-0.027010,-0.027203,-0.026855,True,0.2507
E0_static,E2_obstacle_aware,capture_rate,0.043350,0.056892,0.047084,0.049108,0.043350,0.053622,True,0.2507
E0_static,E2_obstacle_aware,crash_rate,0.013886,0.005243,0.011617,0.010249,0.005243,0.013130,True,0.2507
E0_static,E2_obstacle_aware,timeout_rate,-0.057235,-0.062135,-0.058701,-0.059357,-0.062135,-0.057724,True,0.2507
E1_cv,E2_obstacle_aware,capture_rate,0.035328,0.051751,0.037592,0.041557,0.035328,0.047031,True,0.2507
E1_cv,E2_obstacle_aware,crash_rate,-0.005295,-0.016355,-0.005981,-0.009210,-0.016355,-0.005524,True,0.2507
E1_cv,E2_obstacle_aware,timeout_rate,-0.030032,-0.035396,-0.031612,-0.032347,-0.035396,-0.030559,True,0.2507
